id,name,model
214,Account,account.account
168,Analytic Account,account.analytic.account
1893,Applicant,hr.applicant
448,Approval Request,approval.request
1868,Article Discussion Thread,knowledge.article.thread
300,Asset/Revenue Recognition,account.asset
762,Attendance,hr.attendance
81,Bank Accounts,res.partner.bank
1193,Bank Connection,account.online.link
1693,Base class to extract data from documents,extract.mixin
704,Batch Payment,account.batch.payment
398,Batch Transfer,stock.picking.batch
577,Bill of Material,mrp.bom
401,Budget,crossovered.budget
606,Calendar Event,calendar.event
87,Companies,res.company
550,Consolidation Period,consolidation.period
78,Contact,res.partner
441,Department,hr.department
155,Discussion Channel,discuss.channel
720,Document,documents.document
723,Documents Share,documents.share
149,Email CC management,mail.thread.cc
148,Email Thread,mail.thread
438,Employee,hr.employee
607,Employee Contract,hr.contract
1939,Expense,hr.expense
1940,Expense Report,hr.expense.sheet
562,Gamification Badge,gamification.badge
559,Gamification Challenge,gamification.challenge
769,Helpdesk Team,helpdesk.team
768,Helpdesk Ticket,helpdesk.ticket
442,Job Position,hr.job
218,Journal,account.journal
233,Journal Entry,account.move
1872,Knowledge Article,knowledge.article
707,Lead/Opportunity,crm.lead
319,Lot/Serial,stock.lot
151,Mail Blacklist,mail.blacklist
152,Mail Blacklist mixin,mail.thread.blacklist
1641,Mail Main Attachment management,mail.thread.main.attachment
1950,Mailing Contact,mailing.contact
1954,Mass Mailing,mailing.mailing
623,Pay Slip,hr.payslip
224,Payments,account.payment
628,Payslip Batches,hr.payslip.run
173,Phone Blacklist,phone.blacklist
175,Phone Blacklist Mixin,mail.thread.phone
222,Preset to create journal entries during a invoices and payments matching,account.reconcile.model
186,Pricelist,product.pricelist
176,Product,product.template
178,Product Variant,product.product
586,Production Order,mrp.production
690,Project,project.project
1333,Project Milestone,project.milestone
1336,Project Update,project.update
382,Purchase Order,purchase.order
434,Purchase Requisition,purchase.requisition
2005,Quality Alert,quality.alert
2000,Quality Alert Team,quality.alert.team
2004,Quality Check,quality.check
1999,Quality Control Point,quality.point
